
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 25-Apr-2019 17:41:52 as follows:

raxml-ng --bootstrap --msa Tolkien_concat_align_protossOG.txt --outgroup Protoss_OG --model MULTI6_MK --bs-trees 1000 --prefix BootstrapConcat_OG_P --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_concat_align_protossOG.txt
[00:00:00] Loaded alignment with 33 taxa and 70 sites

Alignment comprises 1 partitions and 62 patterns

Partition 0: noname
Model: MULTI6_MK
Alignment sites / patterns: 70 / 62
Gaps: 0.00 %
Invariant sites: 1.43 %


NOTE: Binary MSA file created: BootstrapConcat_OG_P.raxml.rba
[00:03:31] Bootstrap tree #239, logLikelihood: -2064.272038
[00:03:32] Bootstrap tree #240, logLikelihood: -2214.194988
[00:03:33] Bootstrap tree #241, logLikelihood: -2287.275022
[00:03:34] Bootstrap tree #242, logLikelihood: -2213.835096
[00:03:35] Bootstrap tree #243, logLikelihood: -2081.758961
[00:03:36] Bootstrap tree #244, logLikelihood: -1873.263604
[00:03:37] Bootstrap tree #245, logLikelihood: -1874.205471
[00:03:38] Bootstrap tree #246, logLikelihood: -2060.075556
[00:03:39] Bootstrap tree #247, logLikelihood: -1890.104966
[00:03:39] Bootstrap tree #248, logLikelihood: -1966.339388
[00:03:40] Bootstrap tree #249, logLikelihood: -2014.913173
[00:03:41] Bootstrap tree #250, logLikelihood: -2141.567770
[00:03:42] Bootstrap tree #251, logLikelihood: -2172.115771
[00:03:42] Bootstrap tree #252, logLikelihood: -1964.173786
[00:03:43] Bootstrap tree #253, logLikelihood: -2046.540905
[00:03:44] Bootstrap tree #254, logLikelihood: -2180.135357
[00:03:45] Bootstrap tree #255, logLikelihood: -2127.363469
[00:03:46] Bootstrap tree #256, logLikelihood: -1892.841892
[00:03:47] Bootstrap tree #257, logLikelihood: -2183.678595
[00:03:47] Bootstrap tree #258, logLikelihood: -2188.719045
[00:03:48] Bootstrap tree #259, logLikelihood: -2129.954043
[00:03:50] Bootstrap tree #260, logLikelihood: -2005.466814
[00:03:50] Bootstrap tree #261, logLikelihood: -2008.402453
[00:03:51] Bootstrap tree #262, logLikelihood: -2198.384445
[00:03:53] Bootstrap tree #263, logLikelihood: -2169.246571
[00:03:53] Bootstrap tree #264, logLikelihood: -1803.188796
[00:03:54] Bootstrap tree #265, logLikelihood: -2052.538929
[00:03:55] Bootstrap tree #266, logLikelihood: -2063.312078
[00:03:56] Bootstrap tree #267, logLikelihood: -2028.996787
[00:03:57] Bootstrap tree #268, logLikelihood: -2234.061840
[00:03:58] Bootstrap tree #269, logLikelihood: -2185.259184
[00:03:59] Bootstrap tree #270, logLikelihood: -2083.739822
[00:04:00] Bootstrap tree #271, logLikelihood: -2035.312471
[00:04:01] Bootstrap tree #272, logLikelihood: -2104.619315
[00:04:01] Bootstrap tree #273, logLikelihood: -1830.825539
[00:04:02] Bootstrap tree #274, logLikelihood: -1807.005808
[00:04:03] Bootstrap tree #275, logLikelihood: -2000.497902
[00:04:04] Bootstrap tree #276, logLikelihood: -1836.077121
[00:04:05] Bootstrap tree #277, logLikelihood: -2119.723582
[00:04:06] Bootstrap tree #278, logLikelihood: -2065.855504
[00:04:06] Bootstrap tree #279, logLikelihood: -2309.839023
[00:04:07] Bootstrap tree #280, logLikelihood: -2077.819940
[00:04:08] Bootstrap tree #281, logLikelihood: -2042.902710
[00:04:08] Bootstrap tree #282, logLikelihood: -2174.946516
[00:04:09] Bootstrap tree #283, logLikelihood: -2096.388904
[00:04:10] Bootstrap tree #284, logLikelihood: -2203.115879
[00:04:11] Bootstrap tree #285, logLikelihood: -1924.503295
[00:04:12] Bootstrap tree #286, logLikelihood: -2213.981609
[00:04:12] Bootstrap tree #287, logLikelihood: -1981.829831
[00:04:14] Bootstrap tree #288, logLikelihood: -1939.878410
[00:04:15] Bootstrap tree #289, logLikelihood: -2039.104677
[00:04:16] Bootstrap tree #290, logLikelihood: -2011.220020
[00:04:17] Bootstrap tree #291, logLikelihood: -2007.272585
[00:04:18] Bootstrap tree #292, logLikelihood: -2089.149404
[00:04:19] Bootstrap tree #293, logLikelihood: -2136.711585
[00:04:20] Bootstrap tree #294, logLikelihood: -2012.626636
[00:04:21] Bootstrap tree #295, logLikelihood: -1996.931407
[00:04:22] Bootstrap tree #296, logLikelihood: -2112.543466
[00:04:23] Bootstrap tree #297, logLikelihood: -2031.019905
[00:04:24] Bootstrap tree #298, logLikelihood: -2059.736005
[00:04:25] Bootstrap tree #299, logLikelihood: -1980.477903
[00:04:26] Bootstrap tree #300, logLikelihood: -2157.091190
[00:04:27] Bootstrap tree #301, logLikelihood: -2166.979139
[00:04:28] Bootstrap tree #302, logLikelihood: -1923.830119
[00:04:28] Bootstrap tree #303, logLikelihood: -2071.974096
[00:04:29] Bootstrap tree #304, logLikelihood: -2009.904426
[00:04:31] Bootstrap tree #305, logLikelihood: -2107.904080
[00:04:31] Bootstrap tree #306, logLikelihood: -1986.613269
[00:04:32] Bootstrap tree #307, logLikelihood: -2022.800779
[00:04:33] Bootstrap tree #308, logLikelihood: -2064.648891
[00:04:34] Bootstrap tree #309, logLikelihood: -2188.915262
[00:04:35] Bootstrap tree #310, logLikelihood: -2158.637266
[00:04:35] Bootstrap tree #311, logLikelihood: -2195.200090
[00:04:37] Bootstrap tree #312, logLikelihood: -2139.354484
[00:04:38] Bootstrap tree #313, logLikelihood: -1963.001068
[00:04:38] Bootstrap tree #314, logLikelihood: -2146.647567
[00:04:39] Bootstrap tree #315, logLikelihood: -2162.464641
[00:04:40] Bootstrap tree #316, logLikelihood: -2158.258054
[00:04:41] Bootstrap tree #317, logLikelihood: -2010.197850
[00:04:42] Bootstrap tree #318, logLikelihood: -1997.585813
[00:04:43] Bootstrap tree #319, logLikelihood: -1949.601311
[00:04:44] Bootstrap tree #320, logLikelihood: -2136.277109
[00:04:45] Bootstrap tree #321, logLikelihood: -2112.520544
[00:04:46] Bootstrap tree #322, logLikelihood: -2216.485271
[00:04:47] Bootstrap tree #323, logLikelihood: -1978.581946
[00:04:49] Bootstrap tree #324, logLikelihood: -2229.709641
[00:04:50] Bootstrap tree #325, logLikelihood: -2036.190263
[00:04:51] Bootstrap tree #326, logLikelihood: -2259.376054
[00:04:52] Bootstrap tree #327, logLikelihood: -2067.730676
[00:04:53] Bootstrap tree #328, logLikelihood: -2068.983424
[00:04:54] Bootstrap tree #329, logLikelihood: -1842.008659
[00:04:54] Bootstrap tree #330, logLikelihood: -2022.504214
[00:04:55] Bootstrap tree #331, logLikelihood: -2029.188331
[00:04:56] Bootstrap tree #332, logLikelihood: -2062.225808
[00:04:57] Bootstrap tree #333, logLikelihood: -2039.256814
[00:04:58] Bootstrap tree #334, logLikelihood: -2130.009047
[00:04:59] Bootstrap tree #335, logLikelihood: -2000.308041
