
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 18-Apr-2019 05:03:38 as follows:

raxml-ng --bootstrap --msa Tolkien_arche_align_zergOG.txt --outgroup Zerg_OG --model MULTI7_MK --bs-trees 1000 --prefix BootstrapArcheZergOG --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_arche_align_zergOG.txt
[00:00:00] Loaded alignment with 33 taxa and 18 sites

Alignment comprises 1 partitions and 18 patterns

Partition 0: noname
Model: MULTI7_MK
Alignment sites / patterns: 18 / 18
Gaps: 0.00 %
Invariant sites: 0.00 %


NOTE: Binary MSA file created: BootstrapArcheZergOG.raxml.rba
[00:02:56] Bootstrap tree #292, logLikelihood: -586.595999
[00:02:57] Bootstrap tree #293, logLikelihood: -560.484921
[00:02:57] Bootstrap tree #294, logLikelihood: -579.988901
[00:02:58] Bootstrap tree #295, logLikelihood: -602.928528
[00:02:58] Bootstrap tree #296, logLikelihood: -610.031533
[00:02:59] Bootstrap tree #297, logLikelihood: -620.554082
[00:02:59] Bootstrap tree #298, logLikelihood: -593.514762
[00:03:00] Bootstrap tree #299, logLikelihood: -581.401068
[00:03:01] Bootstrap tree #300, logLikelihood: -593.623653
[00:03:02] Bootstrap tree #301, logLikelihood: -614.773116
[00:03:02] Bootstrap tree #302, logLikelihood: -553.998696
[00:03:03] Bootstrap tree #303, logLikelihood: -551.314677
[00:03:04] Bootstrap tree #304, logLikelihood: -640.235964
[00:03:05] Bootstrap tree #305, logLikelihood: -598.493997
[00:03:05] Bootstrap tree #306, logLikelihood: -588.500547
[00:03:07] Bootstrap tree #307, logLikelihood: -525.140823
[00:03:07] Bootstrap tree #308, logLikelihood: -591.074285
[00:03:08] Bootstrap tree #309, logLikelihood: -554.499414
[00:03:08] Bootstrap tree #310, logLikelihood: -495.047443
[00:03:09] Bootstrap tree #311, logLikelihood: -592.308082
[00:03:09] Bootstrap tree #312, logLikelihood: -645.712171
[00:03:10] Bootstrap tree #313, logLikelihood: -599.897843
[00:03:11] Bootstrap tree #314, logLikelihood: -477.132602
[00:03:12] Bootstrap tree #315, logLikelihood: -620.679169
